"KO","EX_O2","MAX_ATP","CI","CII","CIII","CIV","CV","PDH"
"NONE",1.98,12.3251968427967,3.41591741591719,0.506666666666888,3.95316816516822,1.9765840825841,9.82353017612957,0.610666666666702
"CI",1.98,8.75818648638731,0,0.51616666644145,3.95999999979858,1.97999999989929,6.2570198197343,0.606166666683138
"CII",1.98,12.3038374166396,3.92207792207842,0,3.95215584415632,1.97607792207789,10.3088374166381,0.712000000000555
"CIII",0.1063,2.10262372445358,0.299556952981334,-0.303257396028471,0,0,0.410881120478962,0.0613713019852414
"CIV",0.1063,2.10262372445007,0.29955695297997,-0.303257396026197,0,0,0.410881120473277,0.0613713019897892
"CV",1.98,2.51433333333525,3.43323343323561,0.519333333331588,3.95313353313418,1.97656676656709,0,0.683333333332758
"PDH",1.98,11.8886855999454,3.09685966207292,0.473956521738273,3.95380628067028,1.97690314033514,9.70546820864035,0
"CI,CII",1.98,8.38847459459573,0,0,3.96000000000004,1.98000000000002,6.39347459459384,0.685799999999992
"CI,CIII",0.048,1.84821801802148,0,-0.153333333333194,0,0,0.00655135135912133,0.0586666666652708
"CI,CIV",0.048,1.84821801801753,0,-0.153333333335922,0,0,0.00655135135173168,0.0586666666717063
"CI,CV",1.98,2.5143333333344,0,0.519333333333634,3.96000000000231,1.98000000000116,0,0.683333333333564
"CI,PDH",1.98,8.64054947119958,0,0.723260869560931,3.96000000002175,1.98000000001088,6.33285381903363,0
"CII,CIII",0.0078,1.81559414414753,3.41060513164848e-13,0,0,-3.58113538823090e-12,-0.00798918915518243,0.00199999999695583
"CII,CIV",0.012,1.81559414413869,-2.72848410531878e-12,0,-2.72848410531878e-12,0,-0.00798918919508651,0.00199999999995271
"CII,CV",1.98,1.99500000000616,3.94105894105894,0,3.95211788211668,1.97605894105844,0,0.768199999995204
"CII,PDH",1.98,11.7787270780511,3.4831221410202,0,3.95303375571871,1.97651687785924,10.0944112885744,0
"CIII,CIV",0.1063,2.10262372445395,0.299556952979174,-0.303257396026311,0,0,0.410881120478621,0.0613713019855972
"CIII,CV",0.1212,1.88825998621107,0.0898998410361855,-0.106740013779245,0,0,0,0.0313998410453371
"CIII,PDH",0.1063,2.10073912745654,0.329109703234622,-0.362780593531852,0,0,0.468519720988411,0
"CIV,CV",0.1212,1.8882599862099,0.0898998410456215,-0.106740013789818,0,0,0,0.0313998410474435
"CIV,PDH",0.1063,2.10073912745984,0.329109703235417,-0.362780593532079,0,0,0.468519720988411,0
"CV,PDH",1.98,2.37099999999941,0,0.536000000000286,3.67000000000019,1.83500000000009,0,0
