"KO","EX_O2","MAX_ATP","CI","CII","CIII","CIV","CV","PDH"
"NONE",19.8,100.892303872163,29.3685227815677,6.8493913043485,39.5412629544383,19.7706314772192,93.3932603938979,2.60800000000127
"CI",19.8,69.8955549941305,0,6.86536956521718,39.6000000000001,19.8000000000001,62.3464028202166,2.61150000000053
"CII",5.713,26.0819414529824,8.66883116878614,0,9.93866233762833,4.96933116878529,24.7829414530895,1.03799999999725
"CIII",0.1063,2.1026237244585,0.299556952981789,-0.303257396027448,0,0,0.410881120482259,0.0613713019849274
"CIV",0.1063,2.10262372445248,0.299556952980765,-0.303257396027675,0,0,0.410881120480781,0.0613713019861377
"CV",19.8,7.56363043476915,29.169504408597,6.768673913062,39.4936609911924,19.7468304955962,0,2.61949999997961
"PDH",19.8,98.4927588944688,27.0911262650479,6.67221739129536,39.5458177474716,19.7729088737358,91.6608458509861,0
"CI,CII",5.709,17.4369081081913,0,0,9.94600000005073,4.9730000000231,16.1179081081917,1.03800000002031
"CI,CIII",0.048,1.84821801801591,0,-0.153333333332625,0,0,0.00655135134934426,0.0586666666643435
"CI,CIV",0.048,1.84821801801765,0,-0.153333333329556,0,0,0.00655135134979901,0.0586666666622545
"CI,CV",19.8,7.56363043477886,0,6.76867391304199,39.5519999999913,19.7759999999956,0,2.61949999999541
"CI,PDH",19.8,69.4086340775584,0,6.92152173913382,39.5999999999995,19.7999999999997,62.4522427732047,0
"CII,CIII",0.0175,1.81559414414869,-9.09494701772928e-13,0,0,0,-0.00798918917848823,0.00199999999995271
"CII,CIV",0.012,1.81559414414437,1.13686837721616e-13,0,1.13686837721616e-13,0,-0.00798918918872005,0.00200000000040745
"CII,CV",0.4745,1.99499999999554,-2.27373675443232e-13,0,0.392999999999574,0.196499999999788,0,0.0880000000001567
"CII,PDH",4.8486,24.533460999812,7.90996503496638,0,9.51743006993127,4.75871503496523,23.3307109998133,0
"CIII,CIV",0.1063,2.10262372445089,0.29955695296826,-0.303257396012441,0,0,0.410881120477484,0.0613713019846493
"CIII,CV",0.1212,1.88825998621289,0.0898998410434615,-0.106740013786407,0,0,0,0.031399841041889
"CIII,PDH",0.1063,2.10073912741815,0.32910970323519,-0.362780593532989,0,0,0.468519720950212,0
"CIV,CV",0.1212,1.88825998621558,0.0898998410453942,-0.106740013787203,0,0,0,0.0313998410509153
"CIV,PDH",0.1063,2.10073912743298,0.329109703222571,-0.362780593521961,0,0,0.468519720942822,0
"CV,PDH",19.8,7.01969565217564,0,6.73426086956545,39.3100000000006,19.6550000000003,0,0
